Date,MinTemp,MaxTemp,Humidity,Rainfall,Sunshine,WindGustSpeed,WindGustDir,Rain,RainTomorrow
4/14/2021,21.5,31.8,84,0,7.1,3,200,berawan,hujan sedang
4/15/2021,24.6,32,84,6,6.1,2,200,hujan ringan,hujan sedang
4/16/2021,24.2,32.2,82,0,8.4,2,110,berawan,hujan sedang
4/17/2021,24,32.6,78,0,9.6,3,180,berawan,hujan sedang
4/18/2021,24.4,32.8,81,0,10,3,180,berawan,hujan sedang
4/19/2021,23.2,33.4,79,0,8.6,2,200,berawan,hujan sedang
4/20/2021,23.4,32.4,80,0,10,2,180,berawan,hujan sedang
4/21/2021,21.3,32.4,77,0,10,2,200,berawan,hujan sedang
4/22/2021,22,32.6,76,0,10.6,2,90,berawan,hujan sedang
4/23/2021,24,32.2,78,0,10.2,2,180,berawan,hujan sedang
4/24/2021,22.2,32,80,0,10.3,3,180,berawan,hujan sedang
4/25/2021,25.2,32,80,,10.2,2,200,berawan,hujan sedang
4/26/2021,23.2,32.6,82,0,2,3,90,berawan,hujan sedang
4/27/2021,23.2,33.4,81,0,9.5,2,180,berawan,hujan sedang
4/28/2021,,31.8,80,0,9.1,3,200,berawan,hujan sedang
4/29/2021,21.8,32.4,79,,6,3,200,berawan,hujan sedang
4/30/2021,22.8,32.4,84,,10,3,200,berawan,hujan sedang
3/1/2021,22.8,33.3,77,,2.2,3,270,berawan,hujan sedang
3/2/2021,22.4,33,82,0,7.7,3,200,berawan,hujan sedang
3/3/2021,23.6,33.1,82,0,4.4,2,200,berawan,hujan sedang
3/4/2021,23.2,31.2,83,2.2,4.7,3,260,hujan ringan,hujan sedang
3/5/2021,22,32.4,79,,4,3,200,berawan,hujan sedang
3/6/2021,23.6,32.2,84,0,7.8,3,270,berawan,hujan sedang
3/7/2021,23.1,32,88,17.1,6.8,3,200,hujan ringan,hujan sedang
3/8/2021,23.2,29,92,14.3,4.2,3,250,hujan ringan,hujan sedang
3/9/2021,22.4,30.2,88,12.8,0.5,2,200,hujan ringan,hujan sedang
3/10/2021,22,32.4,89,14.6,2.4,2,360,hujan ringan,hujan sedang
3/11/2021,22.2,30.8,88,3,4.4,3,360,hujan ringan,hujan sedang
3/12/2021,23,31.8,88,8888,1.8,2,180,hujan ekstrem,hujan sedang
3/13/2021,23,30,88,10,6.9,2,200,hujan ringan,hujan sedang
3/14/2021,24,33,85,,3.7,2,200,berawan,hujan sedang
3/15/2021,23.2,33.2,88,1.7,7.7,2,200,hujan ringan,hujan sedang
3/16/2021,23.8,32,84,0,3.9,2,200,berawan,hujan sedang
3/17/2021,23,33.8,84,0,6,3,220,berawan,hujan sedang
3/18/2021,23.3,32,89,32.2,8.7,3,180,hujan sedang,hujan sedang
3/19/2021,22.8,31.6,83,13.8,6.1,3,200,hujan ringan,hujan sedang
3/20/2021,22.3,31.4,88,2.1,8.2,3,200,hujan ringan,hujan sedang
3/21/2021,23,31.8,85,,2.2,3,200,berawan,hujan sedang
3/22/2021,23,31.8,84,0.4,7.8,3,270,hujan ringan,hujan sedang
3/23/2021,23.6,32,84,0,3,3,200,berawan,hujan sedang
3/24/2021,23.2,32.2,81,0,8,3,200,berawan,hujan sedang
3/25/2021,23.4,32,86,1.2,9.2,3,270,hujan ringan,hujan sedang
3/26/2021,23.2,32.4,81,0.7,6.4,2,180,hujan ringan,hujan sedang
3/27/2021,23.6,32.4,84,,7,2,200,berawan,hujan sedang
3/28/2021,,32.6,87,1.5,7.4,2,180,hujan ringan,hujan sedang
3/29/2021,23.8,32,88,8888,5.6,2,200,hujan ekstrem,hujan sedang
3/30/2021,24.4,31.6,94,0.5,3.6,3,300,hujan ringan,hujan sedang
3/31/2021,24,31.6,90,24,1.8,3,210,hujan sedang,hujan sedang
2/1/2021,23.2,31.8,86,10.6,5.5,3,180,hujan ringan,hujan sedang
2/2/2021,23.2,32.2,88,1,5.8,3,270,hujan ringan,hujan sedang
2/3/2021,24.4,31.6,88,4.2,4.2,4,200,hujan ringan,hujan sedang
2/4/2021,22,32.4,88,39.3,3.1,3,270,hujan sedang,hujan sedang
2/5/2021,23.2,33,86,12.2,6.5,3,200,hujan ringan,hujan sedang
2/6/2021,24.2,31.2,84,0.3,4.4,2,90,hujan ringan,hujan sedang
2/7/2021,23.6,31.8,85,0,1.5,4,10,berawan,hujan sedang
2/8/2021,24.6,30.2,92,1.2,2.4,3,80,hujan ringan,hujan sedang
2/9/2021,23.9,32,89,4.2,2.7,3,180,hujan ringan,hujan sedang
2/10/2021,23.4,28.2,95,108.1,1.7,2,180,hujan sangat lebat,hujan sedang
2/11/2021,23.6,31.2,86,5.2,0,4,200,hujan ringan,hujan sedang
2/12/2021,23.8,30.2,88,8888,8.1,3,200,hujan ekstrem,hujan sedang
2/13/2021,23,30.8,88,23.8,3.4,2,180,hujan sedang,hujan sedang
2/14/2021,23.8,30.2,90,0,5,3,200,berawan,hujan sedang
2/15/2021,24.4,31.6,84,0.5,3.5,3,200,hujan ringan,hujan sedang
2/16/2021,23.8,32,86,7.8,6.6,2,200,hujan ringan,hujan sedang
2/17/2021,23.2,28,95,2.6,7,3,180,hujan ringan,hujan sedang
2/18/2021,22.6,32,85,19.2,0,3,200,hujan ringan,hujan sedang
2/19/2021,23,31,92,1,4.7,2,270,hujan ringan,hujan sedang
2/20/2021,23.2,31,88,20.2,4.7,2,270,hujan sedang,hujan sedang
2/21/2021,23.6,32.4,80,5,1.4,2,180,hujan ringan,hujan sedang
2/22/2021,24,33,83,3.8,7.3,2,200,hujan ringan,hujan sedang
2/23/2021,22.4,33,91,0,5.2,3,300,berawan,hujan sedang
2/24/2021,22.4,33,86,18.8,1,2,180,hujan ringan,hujan sedang
2/25/2021,23.4,32.3,87,0,0,3,90,berawan,hujan sedang
2/26/2021,23.2,32.2,86,0.5,5.4,2,170,hujan ringan,hujan sedang
2/27/2021,23.6,33,83,2,2.1,3,200,hujan ringan,hujan sedang
2/28/2021,21.8,30.6,87,13.8,6.6,3,200,hujan ringan,hujan sedang
1/1/2021,23.2,30,90,18.8,2.7,3,200,hujan ringan,hujan sedang
1/2/2021,23,30.4,85,5.8,0.6,3,200,hujan ringan,hujan sedang
1/3/2021,23.6,29.4,85,0,0.9,2,200,berawan,hujan sedang
1/4/2021,22.4,31.4,83,0,2,3,300,berawan,hujan sedang
1/5/2021,23.6,31.8,86,0,3.5,3,210,berawan,hujan sedang
1/6/2021,24.4,32.4,84,1.8,4.6,2,210,hujan ringan,hujan sedang
1/7/2021,23.3,32.4,87,10.3,5.6,3,260,hujan ringan,hujan sedang
1/8/2021,23.7,31.4,88,9.4,3.1,2,180,hujan ringan,hujan sedang
1/9/2021,24.2,31.4,85,24.2,2,2,200,hujan sedang,hujan sedang
1/10/2021,23.2,29.4,91,33.5,3.5,3,200,hujan sedang,hujan sedang
1/11/2021,23.4,31.6,90,11.6,0.9,2,300,hujan ringan,hujan sedang
1/12/2021,24,31.8,88,17.3,4.3,2,180,hujan ringan,hujan sedang
1/13/2021,23.1,32,83,51.2,6.5,3,250,hujan lebat,hujan sedang
1/14/2021,23,30.3,86,25.1,4.3,2,90,hujan sedang,hujan sedang
1/15/2021,23.8,31,84,0,0.1,2,180,berawan,hujan sedang
1/16/2021,23.2,31,80,0,1.1,2,180,berawan,hujan sedang
1/17/2021,23.3,32,83,8888,0.3,3,250,hujan ekstrem,hujan sedang
1/18/2021,24,32.2,87,1.5,4.8,2,180,hujan ringan,hujan sedang
1/19/2021,23.5,31,89,12.7,5.5,3,20,hujan ringan,hujan sedang
1/20/2021,23.5,32.4,86,39.3,2.6,3,240,hujan sedang,hujan sedang
1/21/2021,23.4,32.4,86,0.8,3.1,2,180,hujan ringan,hujan sedang
1/22/2021,23.4,31.4,86,4.8,2.4,2,200,hujan ringan,hujan sedang
1/23/2021,24,31.4,81,,1.7,2,200,berawan,hujan sedang
1/24/2021,24.4,33,82,,1.4,2,180,berawan,hujan sedang
1/25/2021,23.4,31.8,82,0,3.6,3,200,berawan,hujan sedang
1/26/2021,23.4,31.5,88,0,3.3,4,180,berawan,hujan sedang
1/27/2021,22.8,28,95,44.2,6.7,3,180,hujan sedang,hujan sedang
1/28/2021,23,31.6,85,12.5,0.1,3,200,hujan ringan,hujan sedang
1/29/2021,23.8,29.1,94,6.4,3.5,2,180,hujan ringan,hujan sedang
1/30/2021,23.2,30.3,89,18.6,0,2,180,hujan ringan,hujan sedang
